data_size, threads, time
20000, 40, 0.0493389
20000, 40, 0.0524236
20000, 40, 0.0493459
20000, 40, 0.0487704
20000, 40, 0.0484198
20000, 40, 0.0487758
20000, 40, 0.0488448
20000, 40, 0.0490771
20000, 40, 0.0479528
20000, 40, 0.0497868
20000, 40, 0.0479817
20000, 40, 0.0494695
20000, 40, 0.04821
20000, 40, 0.052269
20000, 40, 0.048882
20000, 40, 0.0490521
20000, 40, 0.0502933
20000, 40, 0.0491335
20000, 40, 0.0486817
20000, 40, 0.0501085
20000, 40, 0.0485102
20000, 40, 0.0491138
20000, 40, 0.0508356
20000, 40, 0.0487609
20000, 40, 0.0494607
20000, 40, 0.0490082
20000, 40, 0.0489871
20000, 40, 0.0502289
20000, 40, 0.051626
20000, 40, 0.0508812
20000, 40, 0.0522479
20000, 40, 0.0521496
20000, 40, 0.0490544
20000, 40, 0.0496736
20000, 40, 0.0477592
20000, 40, 0.0504148
20000, 40, 0.0508007
20000, 40, 0.048088
20000, 40, 0.0492106
20000, 40, 0.0480752
20000, 40, 0.0493838
20000, 40, 0.0560454
20000, 40, 0.0514957
20000, 40, 0.0487007
20000, 40, 0.0480959
20000, 40, 0.0474044
20000, 40, 0.0480128
20000, 40, 0.0480797
20000, 40, 0.0481089
20000, 40, 0.0482111
20000, 40, 0.0487253
20000, 40, 0.0481529
20000, 40, 0.0497086
20000, 40, 0.0591944
20000, 40, 0.0495787
20000, 40, 0.0524925
20000, 40, 0.0496144
20000, 40, 0.0495839
20000, 40, 0.0574269
20000, 40, 0.0511981
20000, 40, 0.0516759
20000, 40, 0.0504973
20000, 40, 0.0508066
20000, 40, 0.0495957
20000, 40, 0.049449
20000, 40, 0.0496488
20000, 40, 0.051176
20000, 40, 0.0494374
20000, 40, 0.0484079
20000, 40, 0.048593
20000, 40, 0.0481677
20000, 40, 0.0501751
20000, 40, 0.0491928
20000, 40, 0.0499865
20000, 40, 0.0499971
20000, 40, 0.0495296
20000, 40, 0.0515506
20000, 40, 0.0492223
20000, 40, 0.050702
20000, 40, 0.0496791
20000, 40, 0.051114
20000, 40, 0.0481991
20000, 40, 0.0498541
20000, 40, 0.0537552
20000, 40, 0.0519583
20000, 40, 0.0523315
40000, 1, 4.55593
40000, 1, 4.80819
40000, 1, 4.71111
40000, 1, 4.6432
40000, 1, 4.57458
40000, 1, 4.68734
40000, 1, 4.71389
40000, 1, 4.69008
40000, 1, 4.65726
40000, 1, 4.64336
40000, 1, 4.65866
40000, 1, 4.67378
40000, 1, 4.55563
40000, 1, 4.65784
40000, 1, 4.70662
40000, 1, 4.70438
40000, 1, 4.66579
40000, 1, 4.6144
40000, 1, 4.64695
40000, 1, 4.66208
40000, 1, 4.69106
40000, 1, 4.60847
40000, 1, 4.64148
40000, 1, 4.60019
40000, 1, 4.60973
40000, 1, 4.62049
40000, 1, 4.59519
40000, 1, 4.71237
40000, 1, 4.59672
40000, 1, 4.59233
40000, 1, 4.66577
40000, 1, 4.72623
40000, 1, 4.66869
40000, 1, 4.64095
